,race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
640,black,female,2013-03-01,60637,34977,personal,12.238758142787251,48,12099,True,0.14,AP20133-1-21
641,white,female,2017-02-01,60625,54552,personal,1.350264511718903,48,28387,False,0.66,AP20172-2-47
642,black,male,2016-06-01,60626,81609,auto,5.819950017994363,72,92313,False,0.38,AP20166-2-79
643,hispanic/latino,female,2011-06-01,60626,19712,personal,12.22338461183816,24,385,False,0.09,AP20116-1-80
644,hispanic/latino,female,2017-03-01,60623,31896,home,4.895793381269035,360,247374,False,0.79,AP20173-1-25
645,white,female,2013-11-01,60615,40565,personal,2.3394047075582103,48,9064,False,0.08,AP201311-2-57
646,white,female,2014-11-01,60614,82632,home,1.0381207330181887,360,649611,True,0.09,AP201411-1-33
647,white,male,2016-04-01,60614,88981,home,4.726315277937457,180,642323,False,0.37,AP20164-2-75
648,white,female,2017-08-01,60614,133215,home,6.668418083994756,240,1305309,False,1.16,AP20178-0-41
649,black,male,2017-10-01,60623,35690,auto,6.024681729371075,72,27574,False,1.15,AP201710-0-46
650,white,male,2016-12-01,60626,66470,home,4.392692605886127,360,524126,False,0.54,AP201612-2-70
651,white,female,2016-12-01,60614,4441,home,2.9452388642567113,240,34355,False,0.54,AP201612-3-66
652,black,male,2013-05-01,60637,30505,personal,1.5093729525395811,24,22517,False,0.11,AP20135-2-81
653,white,female,2018-04-01,60625,12928,auto,6.759191426812272,72,711,False,1.69,AP20184-1-64
654,hispanic/latino,male,2016-02-01,60626,4008,personal,15.153144962770325,12,455,False,0.38,AP20162-2-5
655,black,male,2015-03-01,60615,127327,home,2.1823731225508296,360,615948,False,0.11,AP20153-3-26
656,black,female,2012-02-01,60637,36364,personal,17.03815724920704,60,18835,True,0.1,AP20122-3-67
657,black,male,2016-03-01,60623,46161,auto,5.532580989441116,72,24136,True,0.36,AP20163-2-90
658,hispanic/latino,male,2018-12-01,60625,148380,auto,8.477962674893925,60,2659,False,2.27,AP201812-2-9
659,hispanic/latino,male,2017-07-01,60623,15792,personal,12.319048839893194,24,2679,False,1.15,AP20177-1-42
660,black,female,2018-01-01,60637,6308,personal,9.765120792118758,24,512,False,1.41,AP20181-3-49
661,asian,female,2014-03-01,60625,127879,auto,6.096463048934086,72,64118,True,0.08,AP20143-3-65
662,black,male,2018-07-01,60637,44853,auto,5.623432210956367,72,9028,False,1.91,AP20187-3-11
663,white,female,2018-12-01,60614,186443,home,5.873179680847912,360,1594790,True,2.27,AP201812-3-16
664,white,male,2013-10-01,60614,62460,personal,7.452950223124456,12,5927,False,0.09,AP201310-2-45
665,white,male,2018-04-01,60625,126740,auto,7.017748096656609,60,59236,True,1.69,AP20184-0-12
666,black,female,2011-07-01,60637,12906,home,3.7172581947278283,360,106083,False,0.07,AP20117-3-62
667,white,female,2013-07-01,60626,104227,home,2.292002648823147,240,764524,False,0.09,AP20137-3-5
668,white,female,2018-04-01,60626,31208,auto,3.815484925056126,72,2993,False,1.69,AP20184-1-13
669,black,female,2016-03-01,60615,43944,personal,17.247056424976016,48,927,False,0.36,AP20163-2-28
670,white,female,2016-04-01,60614,5480,personal,12.881717979548817,24,2214,False,0.37,AP20164-1-15
671,hispanic/latino,female,2017-03-01,60623,1797,personal,8.631414805592009,12,653,False,0.79,AP20173-1-94
672,black,male,2017-11-01,60615,40144,auto,5.724777016299935,60,448,False,1.16,AP201711-1-96
673,white,male,2018-01-01,60614,233667,home,1.8447344354512356,180,1157702,True,1.41,AP20181-3-93
674,white,male,2013-04-01,60614,126367,home,1.5943083874770705,180,918672,False,0.15,AP20134-3-4
675,black,male,2014-11-01,60623,81449,personal,1.4540512294503858,12,5739,False,0.09,AP201411-2-7
676,white,female,2017-11-01,60614,121479,home,7.167363742188256,180,931716,False,1.16,AP201711-2-59
677,white,male,2011-12-01,60614,38558,home,3.8569816754967956,300,211853,True,0.07,AP201112-0-16
678,black,male,2018-05-01,60637,50719,home,5.288036598056075,240,333214,False,1.7,AP20185-1-89
679,other,male,2017-05-01,60611,304536,home,2.497688988799024,300,2414827,True,0.91,AP20175-0-42
680,white,male,2011-11-01,60614,192970,auto,6.507166225523145,84,1399,False,0.08,AP201111-1-52
681,white,female,2016-10-01,60614,23131,auto,7.3461022118489465,60,15625,True,0.4,AP201610-0-40
682,hispanic/latino,male,2014-12-01,60623,33191,auto,3.0877455556042017,72,31354,False,0.12,AP201412-3-76
683,hispanic/latino,female,2016-01-01,60623,13601,personal,4.238570009389285,24,7482,False,0.34,AP20161-0-91
684,black,male,2018-07-01,60625,82869,auto,7.283359133636787,60,33289,True,1.91,AP20187-1-11
685,white,male,2018-07-01,60625,16970,personal,7.227770015385827,48,185,False,1.91,AP20187-2-83
686,other,male,2018-12-01,60614,36316,auto,7.9037855508299995,60,8280,True,2.27,AP201812-2-87
687,white,male,2015-02-01,60625,104255,home,2.2565288347950463,240,754629,True,0.11,AP20152-1-49
688,other,male,2016-09-01,60637,58237,auto,5.143164642490457,60,1090,False,0.4,AP20169-1-27
689,other,male,2015-07-01,60626,42941,home,1.6679820774954246,360,166248,False,0.13,AP20157-1-64
690,black,female,2017-10-01,60615,62551,home,2.1014298376733223,360,513019,False,1.15,AP201710-1-72
691,white,male,2017-12-01,60614,77978,home,6.456602316970042,180,658837,False,1.3,AP201712-1-16
692,other,female,2018-10-01,60615,64157,home,2.385519928455695,300,493206,False,2.19,AP201810-1-84
693,black,male,2013-07-01,60637,31746,auto,5.2487545595678435,72,10008,False,0.09,AP20137-0-98
694,black,male,2011-03-01,60625,39280,auto,7.51550854738444,84,16811,True,0.14,AP20113-1-80
695,black,female,2011-04-01,60623,22246,auto,6.406235413936397,72,15995,False,0.1,AP20114-2-34
696,white,male,2015-11-01,60615,803,auto,7.0370274835645015,84,14710,False,0.12,AP201511-2-66
697,hispanic/latino,female,2018-08-01,60623,24935,auto,7.36860966596085,84,21342,False,1.91,AP20188-3-20
698,white,male,2018-02-01,60637,49860,auto,6.782624501487161,72,31150,False,1.42,AP20182-1-40
699,black,female,2016-02-01,60637,5811,personal,4.210006458146194,60,476,False,0.38,AP20162-1-8
700,black,male,2018-08-01,60637,31466,auto,7.770241609674102,72,32234,False,1.91,AP20188-1-81
701,hispanic/latino,female,2016-07-01,60623,17426,personal,14.787570851899929,18,3646,False,0.39,AP20167-0-31
702,black,female,2017-04-01,60623,43145,personal,11.215253448781914,12,712,False,0.9,AP20174-2-23
703,black,female,2016-10-01,60637,22174,auto,5.5116734245528125,72,10881,False,0.4,AP201610-1-30
704,black,male,2011-07-01,60614,277571,personal,6.763747146492338,48,105292,True,0.07,AP20117-1-28
705,white,female,2018-07-01,60614,230708,home,3.6738243157190373,300,1625258,True,1.91,AP20187-3-76
706,asian,male,2017-08-01,60614,133548,home,5.2414941467067955,180,854087,False,1.16,AP20178-0-7
707,black,female,2015-06-01,60623,21018,personal,10.784407140075814,12,3349,False,0.13,AP20156-2-77
708,black,female,2017-07-01,60623,17855,personal,13.41447357343047,12,7531,False,1.15,AP20177-1-4
709,black,male,2018-06-01,60637,34993,auto,6.090016956444048,60,48279,False,1.82,AP20186-2-51
710,hispanic/latino,female,2011-11-01,60625,65480,auto,5.319199369156661,72,14404,True,0.08,AP201111-3-96
711,other,male,2012-10-01,60626,28461,auto,6.581477327074447,60,10253,False,0.16,AP201210-3-53
712,black,male,2013-07-01,60637,44527,home,5.933004655131994,360,262675,False,0.09,AP20137-1-94
713,hispanic/latino,female,2018-02-01,60623,30564,home,2.0721661504215008,240,227310,False,1.42,AP20182-3-52
714,black,male,2013-05-01,60615,119458,auto,2.3648991847912986,60,25681,False,0.11,AP20135-3-24
715,hispanic/latino,male,2017-09-01,60623,15584,personal,5.677353740909085,24,4979,False,1.15,AP20179-1-53
716,black,male,2014-05-01,60615,72879,home,1.2886475615642363,360,414097,False,0.09,AP20145-3-43
717,asian,female,2013-08-01,60614,16800,personal,6.7704465619583285,18,711,False,0.08,AP20138-0-76
718,black,male,2018-04-01,60614,328573,auto,7.17591874894269,72,138818,True,1.69,AP20184-1-30
719,white,female,2012-04-01,60611,30445,home,0.4691958186480062,240,234508,False,0.14,AP20124-3-86
720,black,male,2013-08-01,60623,26390,auto,5.589044093767285,72,22282,False,0.08,AP20138-1-91
721,asian,female,2017-09-01,60625,92451,home,4.233299452555655,300,755169,True,1.15,AP20179-0-82
722,hispanic/latino,male,2017-07-01,60626,45520,personal,13.600358116352744,48,1762,False,1.15,AP20177-2-5
723,black,female,2016-03-01,60626,1967,auto,4.75625149077106,60,14481,False,0.36,AP20163-1-4
724,white,male,2015-03-01,60611,143728,home,3.249729487167838,360,921407,True,0.11,AP20153-2-92
725,white,female,2013-02-01,60625,34978,home,4.2705865333737485,300,259148,True,0.15,AP20132-1-37
726,black,male,2012-04-01,60623,32188,auto,5.630591927988379,72,9634,False,0.14,AP20124-3-10
727,hispanic/latino,female,2016-09-01,60623,34491,personal,2.261936286695876,48,28293,True,0.4,AP20169-2-16
728,hispanic/latino,female,2016-03-01,60623,38585,auto,6.593998063219235,60,7087,False,0.36,AP20163-0-65
729,other,female,2016-03-01,60625,75912,home,3.289795916664524,240,514439,True,0.36,AP20163-2-66
730,white,female,2016-05-01,60614,24818,personal,10.769738086126807,24,2349,False,0.37,AP20165-1-61
731,white,male,2013-06-01,60615,110336,home,0.15057359346292923,360,792856,False,0.09,AP20136-2-37
732,hispanic/latino,female,2016-07-01,60614,50587,personal,12.120363502668425,60,1430,False,0.39,AP20167-2-26
733,white,male,2017-01-01,60614,287677,home,3.7682615736244043,240,2401398,False,0.65,AP20171-2-7
734,other,female,2017-05-01,60615,64419,auto,3.991275200014872,72,24116,False,0.91,AP20175-1-48
735,asian,female,2018-04-01,60625,66690,personal,7.86102120512067,24,9832,False,1.69,AP20184-1-8
736,hispanic/latino,male,2011-03-01,60625,8511,auto,5.529858533019238,60,14789,True,0.14,AP20113-1-42
737,hispanic/latino,male,2016-12-01,60623,87997,personal,12.23492644931488,24,40948,True,0.54,AP201612-3-95
738,white,female,2011-02-01,60614,231249,home,3.9383117349986834,360,1245872,True,0.16,AP20112-0-46
739,black,female,2016-08-01,60623,4430,auto,3.7448468587420254,72,17448,False,0.4,AP20168-2-90
740,white,female,2014-06-01,60614,67308,home,2.9738733769212033,360,501581,True,0.1,AP20146-0-27
741,black,female,2013-05-01,60615,41355,auto,5.222261992155172,84,15744,False,0.11,AP20135-3-19
742,white,male,2018-09-01,60614,111321,auto,5.455340360878358,84,2410,False,1.95,AP20189-1-22
743,black,male,2017-11-01,60623,15623,personal,3.0702696520741064,24,4263,False,1.16,AP201711-0-28
744,white,male,2016-07-01,60615,100427,home,2.5181341803896045,180,656646,False,0.39,AP20167-1-66
745,white,female,2011-09-01,60625,7513,auto,5.957106467258369,72,12920,True,0.08,AP20119-0-17
746,asian,male,2018-01-01,60625,63567,home,3.653877516943264,360,436671,True,1.41,AP20181-1-69
747,white,male,2015-11-01,60625,85436,home,4.411999924678671,180,672962,False,0.12,AP201511-0-25
748,asian,female,2017-10-01,60611,159653,auto,6.509346277263237,60,133343,True,1.15,AP201710-2-43
749,white,male,2015-05-01,60614,84675,auto,4.488796122817303,84,2063,False,0.12,AP20155-3-64
750,black,female,2017-12-01,60626,41291,auto,8.064021993465895,72,5159,False,1.3,AP201712-1-71
751,other,male,2014-08-01,60626,101670,personal,10.836129836962238,18,17701,True,0.09,AP20148-0-36
752,black,male,2018-10-01,60637,35546,auto,6.066540142496615,72,13732,False,2.19,AP201810-1-72
753,white,male,2016-08-01,60614,124689,auto,4.04286132900608,60,12594,True,0.4,AP20168-1-1
754,hispanic/latino,female,2018-02-01,60625,52488,auto,6.71975817901479,84,22347,True,1.42,AP20182-2-87
755,hispanic/latino,female,2013-02-01,60625,72120,auto,3.681622448734185,72,58235,True,0.15,AP20132-3-87
756,black,female,2011-07-01,60626,84213,personal,7.459576605642145,12,6830,False,0.07,AP20117-1-75
757,black,female,2011-11-01,60637,86980,home,0.9572566000100496,300,743892,False,0.08,AP201111-2-56
758,black,male,2011-09-01,60623,21517,auto,4.543713685625354,72,11368,False,0.08,AP20119-2-12
759,black,male,2012-06-01,60626,62241,home,3.497212197748244,300,369044,False,0.16,AP20126-1-47
760,black,male,2017-01-01,60615,97985,personal,13.938331077171103,24,67217,True,0.65,AP20171-3-64
761,black,male,2018-04-01,60615,74165,personal,16.121239584036154,12,5894,False,1.69,AP20184-0-30
762,white,male,2013-02-01,60625,46949,auto,8.538077522942608,60,23335,True,0.15,AP20132-1-97
763,asian,female,2015-11-01,60637,58510,home,1.3003538360893465,360,469662,False,0.12,AP201511-0-53
764,black,female,2015-07-01,60623,43047,personal,16.779549427227447,48,12362,True,0.13,AP20157-2-7
765,other,female,2018-04-01,60637,13807,personal,9.546827587610434,12,3831,False,1.69,AP20184-2-23
766,black,male,2013-06-01,60626,104039,home,0.34481193935488597,360,751295,False,0.09,AP20136-0-94
767,hispanic/latino,female,2016-01-01,60625,63528,home,3.018562834561565,240,388393,True,0.34,AP20161-1-49
768,asian,female,2017-09-01,60625,52001,auto,4.6109398666168016,72,15626,True,1.15,AP20179-3-23
769,hispanic/latino,male,2016-12-01,60625,71021,home,5.262054819544757,300,511037,True,0.54,AP201612-3-23
770,black,male,2015-10-01,60615,45868,auto,4.789695225175784,72,2061,False,0.12,AP201510-0-41
771,black,female,2011-08-01,60637,51068,auto,2.8322471683595203,72,26703,False,0.1,AP20118-3-82
772,black,male,2015-04-01,60615,13858,personal,11.841689957351916,24,593,False,0.12,AP20154-1-86
773,white,female,2013-01-01,60625,62776,home,5.27745529634269,300,352328,True,0.14,AP20131-3-11
774,white,male,2013-05-01,60614,230922,home,4.595152135204982,300,1475090,True,0.11,AP20135-3-9
775,black,male,2016-04-01,60625,1651,personal,8.577742535637626,48,383,False,0.37,AP20164-0-50
776,other,female,2015-04-01,60623,28138,home,5.20431759168661,180,154396,False,0.12,AP20154-1-28
777,black,male,2018-11-01,60614,84886,home,7.379907175265363,300,476399,True,2.2,AP201811-1-5
778,hispanic/latino,female,2014-01-01,60625,66344,home,3.2414872078669243,300,538921,True,0.07,AP20141-2-46
779,hispanic/latino,male,2017-05-01,60614,116084,home,2.728559906198397,360,1077894,True,0.91,AP20175-3-14
780,hispanic/latino,female,2017-06-01,60623,5807,personal,15.552399247103935,12,4755,False,1.04,AP20176-2-50
781,other,male,2016-06-01,60626,36250,auto,4.8586012519713275,72,4921,False,0.38,AP20166-2-9
782,black,female,2016-11-01,60623,46196,personal,4.3014177851806865,24,509,False,0.41,AP201611-2-36
783,white,female,2016-01-01,60625,19091,personal,4.693149682252095,12,3770,False,0.34,AP20161-3-94
784,white,male,2014-09-01,60614,227134,home,2.2356915227311633,300,1367215,True,0.09,AP20149-0-63
785,black,female,2018-08-01,60615,45495,auto,5.896682790691642,72,34062,False,1.91,AP20188-1-29
786,other,male,2017-11-01,60614,364,personal,14.146944146698301,48,181,False,1.16,AP201711-0-71
787,hispanic/latino,female,2017-08-01,60625,31859,home,4.411700907262469,300,224110,True,1.16,AP20178-3-18
788,white,female,2018-06-01,60614,68338,home,3.144996174819309,360,485448,True,1.82,AP20186-1-68
789,black,male,2017-08-01,60615,3364,auto,4.885172376705568,84,12517,False,1.16,AP20178-1-83
790,black,male,2017-12-01,60625,34995,auto,7.191435135822982,72,26586,True,1.3,AP201712-3-56
791,white,male,2015-06-01,60611,213923,home,5.713403763215962,240,1305563,True,0.13,AP20156-1-23
792,black,male,2018-08-01,60637,89646,auto,7.058631870124674,72,96317,False,1.91,AP20188-0-10
793,black,male,2018-04-01,60615,85534,auto,6.939634973584068,72,103695,False,1.69,AP20184-0-94
794,asian,female,2012-01-01,60614,66029,home,3.312904184191333,300,568225,True,0.08,AP20121-1-74
795,hispanic/latino,male,2018-04-01,60623,3406,personal,14.198204868887146,24,119,False,1.69,AP20184-1-4
796,black,male,2016-11-01,60615,26004,auto,5.5673178940317145,72,4167,False,0.41,AP201611-3-29
797,white,male,2016-10-01,60611,119753,auto,5.722515466219926,72,1333,False,0.4,AP201610-3-48
798,hispanic/latino,female,2012-07-01,60626,43145,personal,9.226135953669612,60,15469,True,0.16,AP20127-1-42
799,hispanic/latino,male,2018-12-01,60623,59527,auto,7.107239586616041,72,24782,True,2.27,AP201812-3-24
800,white,male,2015-02-01,60614,129825,auto,3.785544109597842,60,17112,True,0.11,AP20152-3-69
801,asian,female,2017-09-01,60625,61372,home,2.2272007796452664,300,369811,True,1.15,AP20179-3-97
802,white,female,2018-08-01,60614,120750,auto,6.161008812719288,84,116433,True,1.91,AP20188-2-67
803,black,female,2013-08-01,60637,12874,personal,12.391738686643984,18,2709,False,0.08,AP20138-3-3
804,white,female,2014-04-01,60637,79430,home,5.4534205884662,360,502493,True,0.09,AP20144-2-63
805,white,female,2015-08-01,60614,215188,home,2.323546076802526,300,1114921,True,0.14,AP20158-2-33
806,white,female,2011-01-01,60611,56069,auto,6.3886143547334475,72,479,False,0.17,AP20111-3-80
807,black,male,2016-07-01,60637,2156,home,5.059205380321499,360,16034,False,0.39,AP20167-0-60
808,white,female,2018-04-01,60614,106687,home,4.238571817882038,300,866709,True,1.69,AP20184-0-83
809,white,male,2013-03-01,60625,84745,home,3.7338855259753836,240,668398,False,0.14,AP20133-1-100
810,white,female,2011-08-01,60614,172319,home,5.691703613754857,360,1130881,True,0.1,AP20118-1-64
811,black,male,2013-03-01,60615,40483,auto,6.273533247375253,60,25273,False,0.14,AP20133-2-17
812,black,female,2013-05-01,60623,21143,home,3.69439301787267,240,166282,False,0.11,AP20135-1-28
813,hispanic/latino,female,2015-07-01,60623,48571,auto,5.530514287651723,60,61601,False,0.13,AP20157-1-74
814,asian,female,2018-11-01,60637,30278,auto,6.669524283754151,72,46102,False,2.2,AP201811-2-50
815,hispanic/latino,female,2018-11-01,60623,17225,auto,8.194677345541738,60,11900,False,2.2,AP201811-2-25
816,hispanic/latino,male,2012-03-01,60623,49000,personal,16.17400043113359,12,8623,False,0.13,AP20123-2-38
817,white,female,2017-10-01,60637,113658,home,3.6359935017420666,240,936728,False,1.15,AP201710-0-36
818,black,female,2018-12-01,60637,41075,personal,15.49979978570749,48,12257,True,2.27,AP201812-1-90
819,hispanic/latino,male,2016-08-01,60626,121659,personal,1.6581110683984615,60,48362,True,0.4,AP20168-0-100
820,hispanic/latino,male,2018-07-01,60625,65630,home,5.540877096359027,300,499422,True,1.91,AP20187-1-50
821,hispanic/latino,male,2016-08-01,60625,28143,personal,10.842192442165656,48,1294,False,0.4,AP20168-2-49
822,hispanic/latino,male,2015-03-01,60623,74139,home,0.8490219768006245,240,563692,False,0.11,AP20153-0-9
823,black,female,2018-11-01,60626,21031,personal,9.04981945888625,60,5361,True,2.2,AP201811-3-50
824,white,female,2017-03-01,60614,103975,home,1.6209596425981116,300,798883,True,0.79,AP20173-2-81
825,other,male,2018-02-01,60614,8320,personal,15.969480712120586,18,2264,False,1.42,AP20182-1-92
826,hispanic/latino,female,2018-05-01,60623,13521,auto,5.900568935163278,60,1831,False,1.7,AP20185-2-9
827,black,male,2016-12-01,60623,606,personal,15.308870989349078,48,68,False,0.54,AP201612-3-85
828,asian,male,2014-02-01,60625,10804,auto,6.6712722020293,84,24368,True,0.07,AP20142-1-44
829,white,female,2013-09-01,60614,162469,home,0.5359878229387273,360,1091458,True,0.08,AP20139-3-28
830,hispanic/latino,male,2018-07-01,60623,67198,personal,7.83566876143699,48,15820,True,1.91,AP20187-2-74
831,hispanic/latino,male,2014-11-01,60623,25511,auto,3.8224089181465652,72,11587,False,0.09,AP201411-2-5
832,black,male,2018-10-01,60615,41974,auto,6.0350746854235044,60,10111,False,2.19,AP201810-1-80
833,hispanic/latino,female,2018-03-01,60625,107194,home,2.1543010129048206,240,933303,False,1.51,AP20183-0-19
834,hispanic/latino,female,2018-08-01,60626,67724,home,2.0417236814261788,300,504583,False,1.91,AP20188-2-4
835,white,male,2017-01-01,60614,71612,home,4.438431554541493,360,456770,True,0.65,AP20171-3-45
836,black,female,2015-06-01,60625,90820,home,2.578074607483263,240,533064,True,0.13,AP20156-0-45
837,asian,male,2015-03-01,60625,82787,home,2.0451976015665108,180,452685,True,0.11,AP20153-3-24
838,black,male,2015-09-01,60626,125094,personal,11.196874737934221,60,25408,True,0.14,AP20159-3-60
839,other,female,2017-03-01,60637,1829,personal,15.57204284016165,48,245,False,0.79,AP20173-1-59
840,black,male,2015-07-01,60623,36132,home,3.098055858194106,240,281630,False,0.13,AP20157-2-67
841,hispanic/latino,female,2016-08-01,60623,14234,personal,12.92636300908787,24,2871,False,0.4,AP20168-0-97
842,other,female,2012-12-01,60626,7025,personal,17.596716155804934,48,998,False,0.16,AP201212-2-79
843,black,male,2015-06-01,60623,42496,home,7.534017733193078,360,309930,False,0.13,AP20156-0-16
844,other,male,2011-09-01,60614,140606,home,1.7351395728315209,360,818854,True,0.08,AP20119-3-40
845,other,male,2014-05-01,60623,81426,personal,13.30908876190221,18,25571,True,0.09,AP20145-1-46
846,hispanic/latino,female,2017-03-01,60625,19127,personal,0.8655918006057588,12,1502,False,0.79,AP20173-0-0
847,other,female,2012-09-01,60623,10024,personal,8.85523331423881,60,4793,True,0.14,AP20129-0-48
848,black,male,2011-03-01,60615,18159,auto,5.5384348683419375,72,19045,False,0.14,AP20113-2-45
849,black,female,2017-08-01,60637,64536,home,5.750751144846566,180,441964,False,1.16,AP20178-3-77
850,black,male,2017-08-01,60623,2085,auto,6.019245842147671,84,15480,False,1.16,AP20178-1-7
851,black,male,2017-10-01,60611,180230,auto,5.5722996085634495,60,85206,True,1.15,AP201710-0-57
852,asian,female,2013-10-01,60625,74830,home,2.1320145056492215,360,449064,True,0.09,AP201310-1-94
853,other,male,2013-04-01,60625,32984,personal,13.174582071059605,24,9406,True,0.15,AP20134-2-18
854,black,female,2014-10-01,60637,17879,personal,15.547578007969083,48,4447,True,0.09,AP201410-0-56
855,white,female,2017-07-01,60625,47464,personal,6.473229728030093,24,9934,False,1.15,AP20177-0-1
856,hispanic/latino,male,2016-12-01,60623,20522,personal,19.643871650300333,60,1950,False,0.54,AP201612-3-15
857,hispanic/latino,female,2015-08-01,60625,163796,auto,5.322771181152061,72,45111,True,0.14,AP20158-1-51
858,white,female,2016-12-01,60611,76167,auto,6.869481297528784,72,8937,True,0.54,AP201612-1-83
859,hispanic/latino,female,2016-04-01,60626,36431,auto,4.913297909770064,72,20938,False,0.37,AP20164-1-0
860,black,male,2013-09-01,60623,45142,personal,14.096805953277636,60,219,False,0.08,AP20139-3-36
861,black,male,2015-11-01,60615,25507,personal,13.104118413320695,48,670,False,0.12,AP201511-2-1
862,black,female,2017-06-01,60637,60190,auto,6.412233397439137,60,18593,False,1.04,AP20176-2-77
863,black,male,2016-12-01,60615,102156,home,5.67613637324646,180,911737,False,0.54,AP201612-0-22
864,black,female,2012-11-01,60637,13409,auto,4.940200868970166,84,19104,False,0.16,AP201211-3-15
865,black,female,2017-02-01,60626,76571,home,1.6890524230143522,360,483823,False,0.66,AP20172-0-28
866,other,female,2018-04-01,60611,32557,home,5.129317954601092,360,200962,True,1.69,AP20184-0-5
867,white,male,2016-09-01,60614,36432,home,5.737216448772401,300,241160,True,0.4,AP20169-0-68
868,black,male,2016-02-01,60637,36720,auto,6.530552322456773,72,25897,False,0.38,AP20162-3-50
869,asian,female,2017-06-01,60637,56180,auto,5.307703444316065,72,41640,False,1.04,AP20176-2-34
870,black,female,2013-05-01,60623,6413,auto,5.248935017326397,72,16757,False,0.11,AP20135-0-74
871,white,male,2014-12-01,60614,172604,auto,6.404239063681614,60,124519,True,0.12,AP201412-0-21
872,black,male,2014-04-01,60637,106301,home,3.9412345142441367,240,748538,False,0.09,AP20144-0-70
873,hispanic/latino,male,2013-01-01,60623,28686,personal,3.372787859960702,18,9529,False,0.14,AP20131-0-40
874,black,female,2017-05-01,60625,24278,auto,4.365587977042064,72,11138,True,0.91,AP20175-3-11
875,hispanic/latino,male,2015-04-01,60623,56778,auto,6.412089373133923,72,6252,False,0.12,AP20154-3-40
876,asian,male,2016-12-01,60614,71133,home,1.9886281110476078,360,453238,True,0.54,AP201612-0-67
877,hispanic/latino,male,2015-12-01,60623,19122,personal,12.615171657035107,48,2452,False,0.24,AP201512-3-12
878,hispanic/latino,male,2018-04-01,60623,11064,personal,15.907925557729653,60,1259,False,1.69,AP20184-2-41
879,white,male,2015-08-01,60614,41465,home,6.98886811522693,180,270002,False,0.14,AP20158-2-42
880,white,male,2014-11-01,60614,31272,home,5.4598085039965945,180,252745,False,0.09,AP201411-2-83
881,black,female,2016-09-01,60626,52073,auto,5.398224246375354,72,36877,False,0.4,AP20169-1-62
882,other,female,2011-02-01,60614,189384,home,0.9446820575282667,180,1510669,False,0.16,AP20112-2-46
883,black,male,2017-08-01,60623,15916,personal,15.962318581100778,24,2244,False,1.16,AP20178-2-89
884,asian,male,2015-02-01,60615,58881,auto,5.159081519152632,72,1126,False,0.11,AP20152-0-53
885,white,male,2013-04-01,60625,18932,personal,16.379820057798774,18,3230,False,0.15,AP20134-0-27
886,white,female,2013-05-01,60615,51075,auto,3.5449960640670426,84,4850,False,0.11,AP20135-1-26
887,black,female,2018-05-01,60637,3700,auto,6.50559334769461,72,16525,False,1.7,AP20185-3-56
888,black,female,2015-01-01,60615,88190,home,0.7371118725628608,300,740680,False,0.11,AP20151-1-18
889,hispanic/latino,male,2016-09-01,60625,12833,auto,4.809054249400188,84,15579,True,0.4,AP20169-3-99
890,white,male,2017-01-01,60611,352542,home,8.102789887500853,180,2310122,False,0.65,AP20171-2-82
891,black,male,2013-03-01,60637,19523,auto,5.610257569359368,60,6012,False,0.14,AP20133-3-20
892,black,male,2017-08-01,60626,15718,personal,6.187406086382416,12,111,False,1.16,AP20178-0-88
893,black,male,2016-11-01,60637,33230,auto,4.56491878728688,84,2162,False,0.41,AP201611-0-50
894,hispanic/latino,male,2017-02-01,60626,5050,personal,6.7462460074727435,24,357,False,0.66,AP20172-2-16
895,white,male,2011-09-01,60615,38629,home,4.600299132160898,360,274339,False,0.08,AP20119-0-58
896,black,female,2016-04-01,60626,4353,personal,8.516671868712452,12,447,False,0.37,AP20164-2-88
897,white,female,2018-07-01,60611,180903,home,6.217183005928989,240,1590882,False,1.91,AP20187-2-84
898,white,female,2018-02-01,60614,215362,home,8.141969091996451,180,1320972,False,1.42,AP20182-2-11
899,black,male,2017-03-01,60637,12081,personal,22.43595605067457,24,6344,True,0.79,AP20173-1-10
900,other,male,2014-06-01,60614,19330,personal,4.171479307977471,12,2909,False,0.1,AP20146-2-9
901,other,male,2013-12-01,60611,91627,home,3.669417339678896,180,605093,False,0.09,AP201312-2-85
902,black,female,2018-08-01,60637,13117,personal,10.790136731246875,24,3543,False,1.91,AP20188-3-62
903,other,female,2016-05-01,60614,39017,auto,4.793810107091849,72,2776,False,0.37,AP20165-2-76
904,white,female,2018-10-01,60614,131562,home,2.216771763436875,180,771754,True,2.19,AP201810-2-76
905,white,non-binary,2016-02-01,60611,115508,home,1.8615238313328835,300,673783,True,0.38,AP20162-1-86
906,other,male,2017-08-01,60626,91912,home,1.791546567395465,240,604738,False,1.16,AP20178-3-49
907,other,male,2015-03-01,60637,65789,home,4.169733982201771,360,435742,False,0.11,AP20153-0-7
908,white,male,2013-10-01,60623,7388,auto,4.557931048313996,72,13085,False,0.09,AP201310-2-75
909,other,female,2011-09-01,60623,6589,home,1.8081901882716116,240,35073,False,0.08,AP20119-3-97
910,black,female,2018-09-01,60615,18961,personal,14.23565418265298,60,5827,True,1.95,AP20189-0-96
911,white,female,2011-05-01,60611,63689,home,6.8670729600517255,360,441096,True,0.09,AP20115-2-17
912,other,female,2018-10-01,60626,29078,personal,4.612085922519741,18,2032,False,2.19,AP201810-2-86
