race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
asian,male,2014-11-01,60637,78188.0,home,1.1553715710024053,360,577174.0,False,0.09,AP201411-1-87
black,male,2013-04-01,60615,629.0,home,0.6732803960480284,360,5310.0,False,0.15,AP20134-3-39
asian,male,2016-08-01,60615,43231.0,personal,10.601517563814998,18,27865.0,True,0.4,AP20168-2-20
white,female,2015-11-01,60626,25529.0,home,7.256238862395276,360,169083.0,False,0.12,AP201511-3-20
white,male,2017-03-01,60614,116030.0,home,5.2059316949135805,360,762788.0,True,0.79,AP20173-3-63
white,male,2018-09-01,60626,27678.0,personal,11.498972558057526,48,9926.0,True,,AP20189-3-36
white,male,2015-07-01,60625,3031.0,auto,4.814386713289183,60,13170.0,False,0.13,AP20157-1-12
hispanic/latino,male,2014-03-01,60623,16707.0,auto,6.076748934453569,72,17871.0,False,0.08,AP20143-1-42
other,male,2013-11-01,60626,66528.0,auto,6.039593062991484,84,35211.0,True,0.08,AP201311-0-55
other,female,2018-10-01,60611,,auto,8.10805425379495,84,61978.0,True,2.19,AP201810-0-54
white,male,2014-03-01,60637,90373.0,home,3.1345699583090147,360,651366.0,False,0.08,AP20143-3-48
black,female,2013-10-01,60623,25573.0,personal,10.070582798188486,18,509.0,False,0.09,AP201310-3-39
hispanic/latino,female,2012-12-01,60625,,auto,5.9474926520324995,84,9700.0,True,,AP201212-1-16
black,male,2018-05-01,60637,42821.0,home,4.595554699092159,240,386868.0,False,1.7,AP20185-1-27
white,male,2017-02-01,60625,99501.0,auto,5.846140772078556,72,8511.0,True,0.66,AP20172-1-22
black,female,2013-01-01,60615,19295.0,auto,6.159870482933697,84,6046.0,False,0.14,AP20131-1-40
other,female,2016-04-01,60625,,home,4.496798733269784,300,1139650.0,True,0.37,AP20164-0-93
white,female,2015-07-01,60614,1569.0,home,2.1973042661186204,360,6929.0,False,0.13,AP20157-2-50
white,male,2015-07-01,60625,16815.0,auto,3.661082925243617,84,10128.0,True,0.13,AP20157-3-13
black,male,2018-06-01,60637,39234.0,auto,6.433512164938062,60,20058.0,False,1.82,AP20186-1-79
white,female,2017-06-01,60611,,auto,5.747272382086962,84,162766.0,True,1.04,AP20176-0-96
white,male,2018-04-01,60614,290476.0,auto,7.771926076061293,84,44137.0,True,1.69,AP20184-0-49
Black,female,2013-09-01,60637,,personal,,48,2863.0,False,0.08,AP20139-3-36
black,female,2018-04-01,60623,20944.0,personal,8.019016192235764,18,13045.0,False,1.69,AP20184-1-29
white,male,2016-09-01,60614,161926.0,home,1.3005608539775846,300,1094767.0,True,0.4,AP20169-3-20
hispanic/latino,male,2013-07-01,60626,47277.0,auto,5.13625332603687,84,43759.0,False,0.09,AP20137-2-39
other,male,2018-03-01,60637,34843.0,auto,5.688909553841226,72,7671.0,False,1.51,AP20183-2-14
black,female,2015-10-01,60637,83709.0,home,1.062485392076697,360,683299.0,False,0.12,AP201510-0-26
black,female,2016-07-01,60623,66533.0,home,6.459184292134965,240,476115.0,False,0.39,AP20167-3-90
white,male,2018-03-01,60614,30340.0,personal,20.01029458935908,12,2036.0,False,1.51,AP20183-2-43
black,male,2016-09-01,60611,43027.0,auto,4.719494260519594,72,8485.0,True,0.4,AP20169-1-1
black,male,2018-10-01,60623,47571.0,home,3.2036214796547657,360,339924.0,False,2.19,AP201810-0-25
white,female,2013-05-01,60614,71874.0,home,3.6259008321264474,240,535338.0,True,0.11,AP20135-2-66
asian,non-binary,2015-06-01,60611,74707.0,home,1.1509340669931012,360,494654.0,True,0.13,AP20156-3-65
black,female,2012-02-01,60615,31361.0,personal,10.688235676797307,48,2702.0,False,0.1,AP20122-2-51
other,male,2017-06-01,60615,73878.0,auto,5.603438339200763,84,62808.0,False,1.04,AP20176-1-98
white,male,2016-12-01,60614,3293.0,personal,16.746307560202602,24,745.0,False,0.54,AP201612-0-79
hispanic/latino,female,2012-05-01,60614,,auto,5.286174471748004,72,9724.0,True,0.16,AP20125-2-13
white,female,2016-07-01,60625,92698.0,home,0.8424782141122099,300,570449.0,False,0.39,AP20167-0-32
Black,male,2014-10-01,60623,12271.0,auto,6.809859357112002,84,8640.0,False,0.09,AP201410-0-8
white,male,2015-11-01,60626,30327.0,auto,5.04799881349735,84,22786.0,False,0.12,AP201511-3-16
white,male,2011-05-01,60625,28297.0,personal,9.4552562635388,48,16325.0,True,0.09,AP20115-2-27
white,male,2017-08-01,60626,20961.0,personal,5.374970942704447,48,8532.0,False,1.16,AP20178-1-18
hispanic/latino,female,2012-11-01,60623,42605.0,auto,5.994853878163562,72,34863.0,False,0.16,AP201211-0-27
hispanic/latino,female,2017-11-01,60625,132147.0,home,2.9093243361132886,300,1071972.0,True,1.16,AP201711-2-68
hispanic/latino,female,2016-11-01,60625,34507.0,personal,11.972575747287152,18,10559.0,False,0.41,AP201611-1-66
hispanic/latino,male,2014-01-01,60623,11568.0,personal,12.487986152092812,60,2952.0,False,0.07,AP20141-3-33
black,female,2015-04-01,60637,22266.0,home,1.394737553268734,360,142074.0,False,0.12,AP20154-2-17
black,male,2018-01-01,60615,60219.0,home,1.8647833112231045,240,389187.0,False,1.41,AP20181-0-84
black,female,2017-02-01,60626,21180.0,personal,11.295919780182563,12,6048.0,False,0.66,AP20172-3-28
white,male,2016-05-01,60614,242819.0,home,2.5410696411816525,360,1373714.0,True,0.37,AP20165-1-48
black,male,2014-07-01,60623,50824.0,auto,5.009135079072138,60,22135.0,False,0.09,AP20147-0-12
white,male,2017-11-01,60614,141624.0,home,4.41293726338311,360,879270.0,True,1.16,AP201711-2-76
other,female,2018-06-01,60625,48050.0,personal,2.461984027950507,24,1450.0,False,1.82,AP20186-0-68
other,male,2018-07-01,60623,47663.0,personal,2.38927366946071,12,3575.0,False,1.91,AP20187-2-40
white,male,2012-07-01,60626,4985.0,personal,14.480825067065622,48,2129.0,False,0.16,AP20127-1-76
hispanic/latino,male,2011-06-01,60626,21607.0,personal,0.6727174104152757,18,6111.0,False,0.09,AP20116-2-88
black,female,2015-03-01,60626,13482.0,home,3.8763308570761468,240,87631.0,False,0.11,AP20153-0-38
white,male,2016-07-01,60614,,auto,5.510938858054604,72,10172.0,True,0.39,AP20167-3-45
white,male,2016-11-01,60614,187598.0,home,1.4708939054627974,360,1365483.0,True,0.41,AP201611-0-92
asian,female,2012-01-01,60625,56256.0,auto,4.447525108998532,84,12563.0,True,0.08,AP20121-3-20
hispanic/latino,female,2016-01-01,60623,39744.0,home,4.963683634918905,240,322523.0,False,0.34,AP20161-3-39
white,male,2016-11-01,60614,103901.0,personal,7.831585205772182,60,40264.0,True,0.41,AP201611-0-60
hispanic/latino,female,2018-10-01,60623,25885.0,auto,7.458749661381262,72,12645.0,False,2.19,AP201810-2-75
white,female,2015-04-01,60611,100852.0,auto,5.185471763426667,72,25522.0,True,0.12,AP20154-0-19
hispanic/latino,male,2018-09-01,60625,110308.0,auto,6.297731449306263,72,71106.0,True,1.95,AP20189-2-8
white,male,2011-09-01,60614,201316.0,auto,4.927246503883207,84,28356.0,True,0.08,AP20119-3-9
other,male,2014-02-01,60637,86287.0,home,2.636040408982186,240,505855.0,False,0.07,AP20142-0-79
black,male,2018-04-01,60626,60609.0,home,5.8213063876780335,300,497272.0,False,1.69,AP20184-2-69
other,female,2017-02-01,60626,34185.0,personal,6.941837115979221,18,17277.0,False,0.66,AP20172-1-56
asian,female,2011-07-01,60625,,auto,4.280608693729061,72,9663.0,True,0.07,AP20117-3-69
black,female,2017-04-01,60637,18923.0,personal,12.462599626906178,12,4296.0,False,0.9,AP20174-1-64
black,female,2017-12-01,60625,75083.0,home,7.712703517386406,180,646114.0,False,1.3,AP201712-0-5
hispanic/latino,female,2017-05-01,60625,36236.0,auto,6.353061470589981,60,6336.0,True,0.91,AP20175-1-31
hispanic/latino,female,2011-05-01,60626,10424.0,home,2.655407648889305,180,75839.0,False,0.09,AP20115-0-10
black,female,2016-07-01,60626,16120.0,personal,14.40375163058508,60,5113.0,True,0.39,AP20167-3-55
hispanic/latino,male,2015-04-01,60623,75040.0,home,1.3321857871208942,360,462398.0,False,0.12,AP20154-1-46
white,female,2016-10-01,60626,79802.0,auto,6.287276318699622,72,95999.0,False,0.4,AP201610-2-43
black,male,2018-05-01,60637,10556.0,personal,18.690769111723032,24,2900.0,False,1.7,AP20185-1-69
hispanic/latino,female,2016-01-01,60623,5743.0,auto,5.747983760165692,60,21129.0,False,0.34,AP20161-0-1
black,male,2013-07-01,60637,27563.0,home,2.7127674506353214,360,200548.0,False,0.09,AP20137-3-42
black,non-binary,2013-09-01,60626,37023.0,personal,7.512846367080175,24,6752.0,False,0.08,AP20139-1-14
white,female,2017-02-01,60614,,personal,10.788981376017603,18,3762.0,False,0.66,AP20172-0-48
black,female,2013-02-01,60615,33296.0,auto,3.7026681308478193,72,32677.0,False,,AP20132-1-56
hispanic/latino,male,2018-06-01,60614,258477.0,auto,6.585336696544429,72,103822.0,True,1.82,AP20186-1-80
white,male,2017-08-01,60626,61322.0,home,2.9250944147735494,300,379162.0,False,1.16,AP20178-3-90
white,female,2011-05-01,60611,123980.0,personal,7.858490965458053,60,24151.0,True,0.09,AP20115-2-92
white,male,2013-12-01,60614,175365.0,auto,3.8932157147012596,72,26363.0,True,0.09,AP201312-3-58
other,female,2016-06-01,60615,8219.0,home,2.0414851654092145,240,63922.0,False,0.38,AP20166-2-51
other,male,2018-01-01,60611,,auto,6.8773937817350355,72,26701.0,True,1.41,AP20181-0-49
other,male,2017-08-01,60637,44433.0,personal,10.54876474342146,48,1476.0,False,1.16,AP20178-2-80
white,male,2016-07-01,60625,7216.0,personal,12.288832723248964,18,226.0,False,0.39,AP20167-3-5
hispanic/latino,female,2014-11-01,60626,65884.0,home,0.29001009200732064,300,466886.0,False,0.09,AP201411-1-35
black,male,2012-05-01,60623,33675.0,home,0.531610613399688,180,172087.0,False,0.16,AP20125-2-39
Black,female,2018-08-01,60615,19272.0,personal,13.699309276214883,48,10398.0,True,1.91,AP20188-3-97
white,female,2013-02-01,60626,40231.0,auto,4.77956631873203,60,5681.0,False,0.15,AP20132-3-54
black,female,2018-10-01,60626,34116.0,home,3.443910226401609,180,234163.0,False,2.19,AP201810-0-64
asian,female,2017-09-01,60611,,home,1.2079858916409987,300,1014667.0,True,1.15,AP20179-2-6
hispanic/latino,male,2011-01-01,60614,128632.0,auto,5.202219429549049,72,44806.0,True,0.17,AP20111-0-70
black,male,2013-01-01,60623,,home,0.34690841518390625,360,315287.0,False,0.14,AP20131-2-62
white,male,2013-03-01,60614,155638.0,home,0.7454167496397218,360,1319088.0,True,0.14,AP20133-3-76
hispanic/latino,female,2015-03-01,60626,61295.0,home,6.628191521089149,180,468147.0,False,0.11,AP20153-3-49
black,female,2013-02-01,60614,,home,4.30267545433553,240,712461.0,True,0.15,AP20132-3-72
other,female,2015-06-01,60625,61426.0,home,1.6312784183997389,360,467437.0,True,0.13,AP20156-1-41
hispanic/latino,female,2018-02-01,60625,51581.0,home,3.9496535563627084,180,440592.0,False,1.42,AP20182-3-39
black,female,2012-12-01,60615,13492.0,personal,6.489838114405137,12,3204.0,False,0.16,AP201212-2-23
white,female,2016-11-01,60625,,home,1.746523494324507,180,480506.0,False,0.41,AP201611-2-85
other,female,2015-08-01,60614,72408.0,home,3.665565983446841,240,571690.0,False,0.14,AP20158-3-82
asian,male,2013-02-01,60611,11098.0,personal,8.152371630701394,24,6103.0,False,0.15,AP20132-2-22
other,female,2018-07-01,60625,,home,6.0663072710287125,300,1009885.0,True,1.91,AP20187-1-4
asian,male,2016-11-01,60614,212149.0,auto,5.030870275960754,72,37394.0,True,0.41,AP201611-0-76
other,female,2015-03-01,60625,44553.0,personal,9.083583461702654,48,2947.0,False,0.11,AP20153-3-17
other,male,2015-05-01,60614,337602.0,home,2.586146299369834,240,2740055.0,False,0.12,AP20155-1-71
hispanic/latino,,2012-09-01,60623,14847.0,personal,10.381200067409875,18,3097.0,False,0.14,AP20129-1-16
white,female,2018-10-01,60615,,personal,19.514353825693444,24,15485.0,True,2.19,AP201810-1-26
black,male,2016-04-01,60626,58975.0,home,2.9345335930227567,300,580882.0,False,0.37,AP20164-1-67
other,male,2013-11-01,60614,165334.0,auto,6.486259636236029,72,25726.0,True,0.08,AP201311-2-49
hispanic/latino,male,2012-09-01,60625,43617.0,home,6.451006116531635,240,212753.0,True,0.14,AP20129-2-67
black,female,2012-02-01,60637,1024.0,personal,15.811244752941327,12,390.0,False,0.1,AP20122-0-71
other,female,2017-07-01,60611,286001.0,auto,6.277339481847534,84,72652.0,True,1.15,AP20177-2-68
hispanic/latino,male,2011-05-01,60623,68295.0,home,3.5784127172065694,240,428406.0,False,0.09,AP20115-2-37
black,female,2013-05-01,60623,,personal,11.127592083660552,60,21060.0,True,0.11,AP20135-3-35
black,male,2016-04-01,60623,23018.0,auto,7.751856291533836,72,3268.0,False,0.37,AP20164-1-0
black,male,2014-01-01,60637,114263.0,personal,2.628342617015615,60,39183.0,True,0.07,AP20141-3-66
white,male,2016-08-01,60615,50053.0,home,4.244343290167606,300,400436.0,False,0.4,AP20168-3-84
black,female,2012-08-01,60615,74856.0,home,4.7236970012062445,360,371697.0,False,0.13,AP20128-1-25
other,male,2011-08-01,60615,36433.0,home,1.2961116294340942,360,204543.0,False,0.1,AP20118-3-14
black,male,2011-07-01,60623,33342.0,auto,5.709876641681282,72,23362.0,False,0.07,AP20117-0-35
hispanic/latino,female,2012-11-01,60626,10367.0,personal,14.592533516103423,18,3360.0,False,0.16,AP201211-2-11
black,male,2011-08-01,60637,58755.0,home,0.5733950844341557,360,468776.0,False,0.1,AP20118-0-66
asian,female,2016-01-01,60614,42934.0,auto,5.758644739029984,72,3549.0,False,0.34,AP20161-2-71
hispanic/latino,female,2011-12-01,60615,91281.0,home,5.1755954926915635,240,692111.0,False,0.07,AP201112-3-26
black,male,2016-03-01,60637,949.0,personal,10.770159810878123,48,131.0,False,0.36,AP20163-1-28
hispanic/latino,male,2013-09-01,60623,22222.0,auto,5.492818962980197,72,17504.0,False,0.08,AP20139-1-15
white,female,2016-10-01,60626,,auto,6.508160167075389,72,11359.0,False,0.4,AP201610-1-84
white,female,2018-08-01,60614,106835.0,home,8.471529794669266,180,808327.0,False,1.91,AP20188-3-38
hispanic/latino,male,2012-12-01,60623,15864.0,auto,4.984081266001678,72,5220.0,False,0.16,AP201212-2-85
other,female,2016-12-01,60611,152076.0,home,1.0607898608453072,360,924707.0,True,0.54,AP201612-0-72
other,female,2016-03-01,60615,55636.0,auto,4.81051680549698,84,1386.0,False,0.36,AP20163-1-25
other,female,2012-01-01,60637,50079.0,home,4.132148596079895,360,330929.0,False,0.08,AP20121-3-89
black,female,2015-01-01,60637,36986.0,auto,4.02326133061333,72,27156.0,False,,AP20151-2-16
white,female,2014-06-01,60615,88580.0,auto,4.446956440964534,84,20878.0,False,0.1,AP20146-1-24
asian,male,2017-08-01,60625,134946.0,home,2.1758117019817087,360,1034412.0,True,1.16,AP20178-1-13
black,female,2016-03-01,60615,92288.0,personal,15.028219908716338,12,4315.0,False,0.36,AP20163-1-3
white,female,2012-08-01,60615,59408.0,home,3.1594254459051956,180,444449.0,False,0.13,AP20128-0-66
asian,female,2015-05-01,60625,53680.0,personal,9.750731990093378,60,1860.0,False,0.12,AP20155-3-60
hispanic/latino,male,2016-06-01,60625,58196.0,home,5.087683266261721,360,407771.0,True,0.38,AP20166-2-26
white,female,2012-06-01,60623,56908.0,auto,4.591579138241939,72,18548.0,False,0.16,AP20126-3-22
black,female,2016-10-01,60615,22567.0,home,4.7668743230106845,360,160426.0,False,0.4,AP201610-3-2
other,female,2015-10-01,60611,231993.0,home,1.723617400664744,180,1504120.0,False,0.12,AP201510-3-18
hispanic/latino,male,2017-01-01,60623,21944.0,auto,7.54000337696413,72,4026.0,False,0.65,AP20171-3-90
white,male,2013-08-01,60614,95206.0,home,1.358364429229864,240,720591.0,True,0.08,AP20138-2-30
black,female,2012-03-01,60626,,home,6.157128049224242,180,485632.0,False,0.13,AP20123-3-22
black,female,2017-05-01,60615,28156.0,auto,7.1958772359900465,84,39789.0,False,0.91,AP20175-0-87
Hispanic,female,2016-06-01,60623,,personal,13.476683255993562,48,12044.0,True,0.38,AP20166-2-77
white,male,2011-09-01,60614,,home,5.258818873027948,240,2381901.0,False,0.08,AP20119-1-16
black,male,2018-08-01,60637,31959.0,auto,8.041865104381115,84,19641.0,True,1.91,AP20188-3-18
black,male,2018-11-01,60623,1136.0,auto,9.213813130690998,72,15759.0,False,2.2,AP201811-3-0
hispanic/latino,female,2014-03-01,60623,68262.0,personal,6.758564454433649,18,2546.0,False,0.08,AP20143-0-73
black,male,2013-04-01,60625,19310.0,auto,5.193338978070393,84,4545.0,False,0.15,AP20134-1-55
black,male,2014-11-01,60623,41801.0,personal,6.4323459850010485,18,26300.0,True,0.09,AP201411-2-68
asian,female,2016-06-01,60614,139755.0,home,5.877298508732511,360,1139882.0,True,0.38,AP20166-2-20
other,female,2013-02-01,60614,179322.0,auto,5.04935006532583,84,77194.0,True,0.15,AP20132-2-1
black,male,2012-08-01,60615,748.0,personal,11.127962565220018,60,188.0,False,0.13,AP20128-0-71
black,male,2018-09-01,60623,31869.0,auto,4.4656506554881705,72,13009.0,False,1.95,AP20189-3-39
hispanic/latino,male,2018-09-01,60623,26018.0,auto,5.918939885094148,84,30714.0,False,1.95,AP20189-2-6
hispanic/latino,male,2016-03-01,60626,530.0,personal,9.436565155064688,24,10.0,False,0.36,AP20163-3-56
other,female,2013-04-01,60614,,home,4.540584903533196,360,821225.0,True,0.15,AP20134-3-38
white,male,2017-06-01,60626,146572.0,home,2.1328812910037662,360,898777.0,False,1.04,AP20176-2-58
white,female,2015-09-01,60625,94939.0,home,1.907156314043935,360,618943.0,True,0.14,AP20159-0-27
asian,male,2018-09-01,60625,97755.0,auto,5.0181441997802985,84,12904.0,True,1.95,AP20189-1-22
white,male,2016-03-01,60625,173771.0,auto,7.441562256238013,84,157385.0,True,0.36,AP20163-2-31
black,male,2013-01-01,60623,16255.0,auto,4.136395458079743,60,15922.0,False,0.14,AP20131-2-73
Black,female,2016-02-01,60615,36977.0,auto,5.159636432155406,72,22300.0,False,0.38,AP20162-0-7
white,female,2013-06-01,60625,,auto,6.069760105076658,72,50953.0,True,0.09,AP20136-1-77
hispanic/latino,,2016-03-01,60626,15675.0,personal,13.830564413773121,12,6298.0,False,0.36,AP20163-3-72
hispanic/latino,male,2017-02-01,60623,61291.0,home,1.9465524724065224,180,400657.0,False,0.66,AP20172-3-81
asian,male,2015-09-01,60625,12214.0,auto,5.826847732218419,72,21468.0,True,0.14,AP20159-2-27
white,male,2011-06-01,60615,64126.0,home,6.637358157374708,240,538197.0,False,0.09,AP20116-1-1
black,male,2014-07-01,60637,5854.0,auto,6.819004841004788,84,14899.0,False,0.09,AP20147-2-15
other,female,2016-12-01,60614,222838.0,auto,4.9216346174168635,72,138444.0,True,0.54,AP201612-2-81
other,male,2018-07-01,60626,7956.0,personal,4.906486533238857,12,2370.0,False,1.91,AP20187-2-11
other,male,2013-10-01,60637,97810.0,home,2.8411586509483553,360,406805.0,False,0.09,AP201310-3-56
other,female,2012-03-01,60637,95096.0,home,0.5770135981606997,300,593570.0,False,0.13,AP20123-3-100
black,female,2016-12-01,60615,50291.0,home,4.393837684644242,240,378194.0,False,0.54,AP201612-3-3
hispanic/latino,female,2016-04-01,60625,75001.0,auto,5.694211942730505,60,15344.0,True,0.37,AP20164-0-94
other,female,2017-07-01,60625,17347.0,personal,6.178051392480098,48,3438.0,False,1.15,AP20177-1-82
black,female,2017-04-01,60625,65046.0,home,1.903118067168724,300,510920.0,True,0.9,AP20174-2-96
hispanic/latino,female,2016-01-01,60625,92159.0,home,6.796910603054098,180,954186.0,False,0.34,AP20161-2-84
white,male,2017-08-01,60625,8200.0,personal,10.469613710062605,24,2520.0,False,1.16,AP20178-1-83
white,female,2012-05-01,60614,,home,2.799892011773628,360,1017998.0,True,0.16,AP20125-1-34
hispanic/latino,male,2012-06-01,60625,17756.0,home,1.2030774609161818,180,108120.0,False,0.16,AP20126-2-63
black,male,2011-03-01,60615,6504.0,personal,11.946933664981184,24,192.0,False,0.14,AP20113-0-47
asian,female,2013-05-01,60626,79320.0,auto,6.125852499786381,72,4509.0,False,0.11,AP20135-0-40
asian,female,2016-11-01,60611,,home,0.5888411380005036,360,618654.0,False,0.41,AP201611-1-33
black,female,2018-10-01,60623,39958.0,auto,5.430088672286137,72,14184.0,False,2.19,AP201810-3-16
white,male,2018-10-01,60614,126184.0,home,2.3300808462253224,300,886595.0,True,2.19,AP201810-1-4
black,female,2017-08-01,60615,36868.0,home,2.959225780629316,360,215866.0,False,1.16,AP20178-0-87
black,non-binary,2017-11-01,60615,20571.0,auto,6.680870511643368,84,15958.0,False,1.16,AP201711-1-67
Hispanic,male,2016-02-01,60625,75098.0,auto,5.316576116440522,72,37482.0,True,0.38,AP20162-0-33
white,female,2017-08-01,60626,53238.0,auto,5.083618116974421,84,4645.0,False,1.16,AP20178-2-64
black,female,2011-11-01,60637,46885.0,auto,5.858423450132666,72,9885.0,False,0.08,AP201111-1-88
other,female,2015-11-01,60614,100466.0,home,3.4847449439396914,180,725035.0,False,0.12,AP201511-0-98
white,female,2018-01-01,60626,21418.0,auto,7.398350324898205,84,1871.0,False,1.41,AP20181-0-43
black,male,2016-07-01,60637,51508.0,auto,5.135987520747678,72,22019.0,False,0.39,AP20167-2-23
hispanic/latino,male,2012-02-01,60623,28460.0,home,0.764250276034962,360,187018.0,False,0.1,AP20122-3-92
hispanic/latino,male,2013-03-01,60626,82139.0,home,2.152077413205212,300,705199.0,False,0.14,AP20133-3-98
black,female,2017-11-01,60637,57204.0,auto,7.335198080975986,84,55562.0,False,1.16,AP201711-2-1
other,female,2011-10-01,60637,28804.0,home,1.5527657000275228,180,176078.0,False,0.07,AP201110-2-69
,male,2018-07-01,60614,176761.0,home,6.397361386058344,360,1526678.0,True,1.91,AP20187-3-29
Latinx,female,2018-06-01,60623,31075.0,personal,9.140092047614575,24,3373.0,False,1.82,AP20186-3-23
black,male,2017-07-01,60626,,personal,11.040921691882502,18,2608.0,False,1.15,AP20177-3-43
hispanic/latino,male,2016-02-01,60626,48745.0,personal,13.916482944805521,48,4358.0,True,0.38,AP20162-2-26
other,male,2016-04-01,60626,30877.0,personal,1.0027304814748286,24,9444.0,False,0.37,AP20164-3-36
asian,male,2013-03-01,60625,30281.0,home,4.508985021664274,180,214218.0,False,0.14,AP20133-1-95
white,female,2016-05-01,60611,237618.0,home,2.935335360985522,180,1999996.0,False,0.37,AP20165-1-63
Hispanic,male,2018-07-01,60623,11757.0,home,5.4216724382874135,180,85535.0,False,1.91,AP20187-2-43
black,female,2012-11-01,60637,38364.0,personal,2.1128005441278255,12,6075.0,False,0.16,AP201211-0-83
black,male,2014-05-01,60637,15762.0,home,2.3698075369946694,360,118198.0,False,0.09,AP20145-1-21
white,male,2016-05-01,60614,167437.0,home,2.8624782691379282,240,1227160.0,True,0.37,AP20165-0-79
other,male,2011-08-01,60626,11760.0,personal,10.603603431206755,18,78.0,False,0.1,AP20118-0-86
white,male,2017-10-01,60614,236184.0,home,5.361528654129957,360,1539645.0,True,1.15,AP201710-0-31
other,female,2017-06-01,60637,19932.0,personal,18.176226002809102,18,1468.0,False,1.04,AP20176-0-59
other,female,2018-07-01,60615,,auto,7.424892519017032,84,36092.0,True,1.91,AP20187-1-53
white,male,2013-09-01,60614,264320.0,home,0.7568954813552192,360,2138658.0,True,0.08,AP20139-0-85
other,female,2017-03-01,60637,11681.0,auto,5.019882939424931,60,16957.0,False,0.79,AP20173-3-22
white,male,2017-08-01,60614,215590.0,auto,6.993465867729124,72,29875.0,True,1.16,AP20178-3-37
asian,male,2015-04-01,60611,129317.0,home,4.5509919235769125,180,1182675.0,False,0.12,AP20154-2-24
white,female,2017-07-01,60626,52960.0,auto,7.465391118641046,84,11348.0,False,1.15,AP20177-3-59
asian,male,2018-01-01,60615,64462.0,home,2.823887730744138,360,379530.0,False,1.41,AP20181-1-18
hispanic/latino,male,2015-03-01,60623,11690.0,auto,3.8660645657789368,84,15467.0,False,0.11,AP20153-1-25
black,female,2011-02-01,60637,18061.0,personal,14.681781038613336,12,1338.0,False,0.16,AP20112-3-18
white,male,2017-01-01,60614,203377.0,auto,5.386684082684147,84,144141.0,True,0.65,AP20171-1-69
other,female,2017-07-01,60625,38235.0,personal,7.161879172856166,18,4243.0,False,1.15,AP20177-3-75
white,female,2011-10-01,60614,36858.0,home,1.2881565935315702,180,319359.0,False,0.07,AP201110-3-21
hispanic/latino,male,2011-09-01,60623,17723.0,personal,9.478890276701314,12,5883.0,False,0.08,AP20119-1-6
black,male,2018-05-01,60637,72343.0,home,4.578884466641472,180,407423.0,False,1.7,AP20185-0-77
black,male,2014-07-01,60623,90154.0,home,2.4961018086068534,240,673077.0,False,0.09,AP20147-2-74
black,female,2017-09-01,60637,41639.0,home,3.6498911693363874,180,325920.0,False,1.15,AP20179-3-71
,male,2016-05-01,60615,107637.0,personal,9.743494779971048,48,31728.0,True,0.37,AP20165-1-15
white,female,2012-12-01,60611,70699.0,auto,4.840838431052362,84,3213.0,False,0.16,AP201212-3-45
white,male,2011-11-01,60611,228562.0,auto,5.981551465199715,60,8329.0,True,0.08,AP201111-3-8
white,female,2011-06-01,60625,,auto,4.22336509154227,72,8481.0,True,0.09,AP20116-1-91
other,female,2016-03-01,60615,51342.0,personal,7.0096190697625245,48,3378.0,False,0.36,AP20163-1-98
white,male,2016-01-01,60614,215340.0,personal,18.87380395936679,48,39811.0,True,0.34,AP20161-3-100
hispanic/latino,female,2013-11-01,60626,4412.0,auto,5.446043690186033,60,14909.0,False,0.08,AP201311-2-53
black,male,2017-08-01,60615,,auto,6.39106356873023,60,9414.0,False,1.16,AP20178-3-63
hispanic/latino,female,2014-12-01,60623,9349.0,personal,7.52533272953911,60,1096.0,False,0.12,AP201412-2-57
hispanic/latino,female,2017-09-01,60625,,personal,16.083292810635687,60,4493.0,True,1.15,AP20179-3-95
black,male,2012-01-01,60615,,home,0.6281620545479777,240,354049.0,False,0.08,AP20121-2-32
black,female,2013-02-01,60637,41684.0,auto,5.432447153187317,72,4702.0,False,0.15,AP20132-3-33
hispanic/latino,female,2011-02-01,60623,,home,7.195541891924781,360,386358.0,True,0.16,AP20112-2-86
hispanic/latino,male,2018-08-01,60623,34324.0,auto,6.690019308037312,60,25208.0,False,1.91,AP20188-0-96
black,male,2012-06-01,60637,86346.0,home,4.342402497205274,300,572525.0,False,0.16,AP20126-1-67
white,female,2016-01-01,60626,69299.0,auto,5.82656346248786,72,26919.0,True,0.34,AP20161-1-55
asian,male,2013-02-01,60614,151315.0,personal,17.456911325108436,18,33985.0,True,0.15,AP20132-2-76
other,female,2012-03-01,60637,18055.0,personal,2.739052653242873,60,7721.0,False,0.13,AP20123-3-68
white,female,2017-08-01,60615,76040.0,auto,5.910364037935708,72,661.0,False,1.16,AP20178-2-23
asian,male,2017-12-01,60625,16318.0,personal,9.562149785107247,18,471.0,False,1.3,AP201712-2-18
hispanic/latino,female,2017-10-01,60626,17652.0,home,4.225420545750712,360,,False,1.15,AP201710-1-55
other,female,2017-01-01,60614,3201.0,home,4.817234046326195,240,17259.0,False,0.65,AP20171-2-95
black,female,2017-09-01,60611,,auto,6.817853231107971,84,57908.0,True,1.15,AP20179-3-7
black,male,2017-12-01,60637,113127.0,auto,6.219622352097082,72,44124.0,True,1.3,AP201712-0-63
black,female,2013-04-01,60623,26723.0,personal,0.33888572152044427,18,2376.0,False,0.15,AP20134-1-46
hispanic/latino,female,2012-09-01,60623,36299.0,personal,13.111285108932616,24,3573.0,False,0.14,AP20129-1-81
